id,Location,return_date,start_ date,FF2,item_description,quantity,cost_amount
331,2790_1518 INT J & S BATHROOM (STG),2011/6/24,2011/5/24,LP,SONICARE TOOTHBRUSH_TARGET,3,129.99
332,2790_1518 INT J & S BATHROOM (STG),2011/6/24,2011/5/24,TAX,SONICARE TOOTHBRUSH_TARGET,0,11.37
333,2790_1518 INT J & S BATHROOM (STG),2011/6/24,2011/5/24,LP,NINJA BLENDER_TARGET,1,99.99
334,2790_1518 INT J & S BATHROOM (STG),2011/6/24,2011/5/24,TAX,NINJA BLENDER_TARGET,0,8.75
6,2790_1505 INT METRO POLICE STATION,2011/4/20,2011/3/30,LP,SWOOPER CHAIR_DKI FURNITURE,1,340
7,2790_1505 INT METRO POLICE STATION,2011/3/30,2011/3/30,TAX,SWOOPER CHAIR_DKI FURNITURE,0,29.75
8,2790_1505 INT METRO POLICE STATION,2011/3/30,2011/3/30,LP,EXEC H/B CHAIR_DKI FURNITURE,1,599
9,2790_1505 INT METRO POLICE STATION,2011/3/30,2011/3/30,TAX,EXEC H/B CHAIR_DKI FURNITURE,0,52.42
10,2790_1505 INT METRO POLICE STATION,2011/3/30,2011/3/30,LP,15 DESK LAMPS_DKI FURNITURE,5,1380
11,2790_1505 INT METRO POLICE STATION,2011/3/30,2011/3/30,TAX,15 DESK LAMPS_DKI FURNITURE,0,120.75
12,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,LP,6X LATERAL FILE CBNTS,2,1500
13,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,TAX,6X LATERAL FILE CBNTS,0,135
14,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,LP,SOFA SET,1,200
15,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,TAX,SOFA SET,0,18
16,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,LP,4X WOOD RECESSED DESKS,5,400
17,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,TAX,4X WOOD RECESSED DESKS,0,36
18,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,LP,2X CREDENZAS,16,200
19,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,TAX,2X CREDENZAS,0,18
20,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,LP,GAME TABLE,1,100
21,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,TAX,GAME TABLE,0,9
22,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,LP,PING PONG TABLE,1,200
23,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,TAX,PING PONG TABLE,0,18
24,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,LP,STATE DESK 36X72,1,100
25,2790_1505 INT METRO POLICE STATION,2011/5/11,2011/4/11,TAX,STATE DESK 36X72,0,9
26,2790_1505 INT METRO POLICE STATION,2011/4/22,2011/4/21,XX,3X ALABASTER MINI BLINDS 57X72,1,540
27,2790_1505 INT METRO POLICE STATION,2011/4/22,2011/4/21,XX,ALABASTER MINI BLINDS 44.5X72,1,145
28,2790_1505 INT METRO POLICE STATION,2011/4/22,2011/4/21,XX,8X 1 MINI BLIND ALMOND 36X69,1,1016
29,2790_1505 INT METRO POLICE STATION,2011/4/22,2011/4/21,XX,2X 1 MINI BLIND ALMOND 18X69,1,190
30,2790_1505 INT METRO POLICE STATION,2011/4/22,2011/4/21,XX,1 MINI BLIND ALMOND 25.5X69,1,100
31,2790_1505 INT METRO POLICE STATION,2011/4/22,2011/4/21,XX,1 MINI BLIND ALMOND 22.25X69,1,95
32,2790_1505 INT METRO POLICE STATION,2011/5/15,2011/4/28,LP,FRIDGE BRIDGE HOUSE,1,199.97
33,2790_1505 INT METRO POLICE STATION,2011/5/15,2011/4/28,TAX,FRIDGE BRIDGE HOUSE,0,17.5
34,2790_1505 INT METRO POLICE STATION,2011/5/15,2011/4/28,XX,GETTY IMAGE_PORTRAIT SENIOR MA,1,350
35,2790_1505 INT METRO POLICE STATION,2011/5/15,2011/4/28,LP,DUMBBELL SET_SPORTS AUTHORITY,10,349.99
36,2790_1505 INT METRO POLICE STATION,2011/5/15,2011/4/28,TAX,DUMBBELL SET_SPORTS AUTHORITY,0,30.62
37,2790_1505 INT METRO POLICE STATION,2011/5/15,2011/5/5,XX,2X MINI BLINDS,4,240
38,2790_1505 INT METRO POLICE STATION,2011/5/20,2011/5/10,XX,EAGLE/AMER FLAG STATUE,0,114.34
